id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"- SLA P1 resolution đã được cập nhật từ 6 giờ xuống 4 giờ trong phiên bản v2026.1 (2026-01-15) [1].
- Không đủ dữ liệu trong tài liệu hiện có.","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,"The answer accurately states that the SLA P1 resolution was updated from 6 hours to 4 hours in version v2026.1 (2026-01-15), which is directly supported by the retrieved context. The statement 'Không đủ dữ liệu trong tài liệu hiện có' is also faithful, as it simply notes the absence of further data. All claims are grounded in the provided context.",4,"The answer directly addresses the change in SLA for P1 tickets, specifying the update from 6 hours to 4 hours and referencing the relevant version. However, the note about insufficient data is unnecessary since the main change was already provided, making the answer slightly less complete.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu rõ việc cập nhật SLA P1 resolution từ 6 giờ xuống 4 giờ trong phiên bản v2026.1, nhưng thiếu thông tin về việc phiên bản trước (v2025.3) không thay đổi SLA này. Đây là một điểm nhỏ nhưng cần thiết để so sánh đầy đủ giữa các phiên bản.",variant_hybrid
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","- Bạn phải sử dụng VPN Cisco AnyConnect khi làm việc remote với hệ thống nội bộ [1].
- Mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"Both claims are directly supported by the retrieved context. The requirement to use Cisco AnyConnect VPN when working remotely with internal systems is stated in hr/leave-policy-2026.pdf, and the device limit per VPN account is specified in support/helpdesk-faq.md.",5,The answer directly and completely addresses the question by specifying the required VPN software and the maximum number of devices allowed for connection.,5,Retrieved: 2/2 expected sources,4,"Model answer đã đề cập đến việc phải sử dụng VPN Cisco AnyConnect khi làm việc remote và giới hạn 2 thiết bị, nhưng thiếu chi tiết về việc VPN là bắt buộc theo HR Leave Policy.",variant_hybrid
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"- Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale không được hoàn tiền [1].
- Sản phẩm đã được kích hoạt cũng không được hoàn tiền [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,Both claims in the answer are directly supported by the retrieved context. The context explicitly states that orders with special discount codes from Flash Sale promotions and products that have been activated are not eligible for refunds.,5,"The answer directly and completely addresses the question by stating that orders purchased during Flash Sale and activated products are not eligible for refunds, which fully covers both aspects of the question.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu rõ hai lý do khiến đơn hàng không được hoàn tiền (áp dụng mã Flash Sale và đã kích hoạt sản phẩm), nhưng thiếu chi tiết rằng đây là hai ngoại lệ đồng thời và không nhắc đến Điều 3 của chính sách như trong đáp án mong đợi.",variant_hybrid
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","- Nếu chọn nhận store credit, bạn sẽ nhận được giá trị 110% so với số tiền gốc hoàn lại [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,"The answer is directly supported by the retrieved context, which states that customers can choose to receive store credit at 110% of the refund amount. No extraneous or unsupported information is present.",5,"The answer directly and completely addresses the question by stating that if you choose store credit, you will receive 110% of the original amount. This fully answers the user's query about the percentage received.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu rõ khách hàng nhận được 110% giá trị nếu chọn store credit, nhưng thiếu chi tiết rằng đây là một tùy chọn, không bắt buộc.",variant_hybrid
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","- Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Có, nhưng quy trình yêu cầu cụ thể không được đề cập trong tài liệu hiện có.
- Cần bao nhiêu ngày? Quy trình thông thường yêu cầu Line Manager phê duyệt trong 1 ngày làm việc, nhưng thời gian cấp quyền cụ thể không được nêu rõ.
- Có yêu cầu đặc biệt gì không? Không đủ dữ liệu trong tài liệu hiện có.","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",4,"The answer is mostly faithful. It correctly states that the specific process for granting Admin Access to external contractors is not detailed in the provided documents. It also accurately notes that Line Manager approval is required within 1 working day for standard access requests, but the exact timing for access granting is not specified. The only minor uncertainty is the assumption that contractors can be granted Admin Access, as the context does not explicitly confirm or deny this; it simply does not mention contractors at all. Otherwise, the answer does not introduce unsupported information.",4,"The answer addresses all parts of the question (possibility, timeline, special requirements) and clearly states when information is missing. However, it could be improved by specifying any general requirements or standard practices if known, even if the document lacks details. Minor details are omitted, but the core question is addressed.",5,Retrieved: 1/1 expected sources,2,"Model answer chỉ xác nhận contractor có thể được cấp quyền và đề cập phê duyệt của Line Manager trong 1 ngày, nhưng không nêu đúng các cấp phê duyệt (IT Manager, CISO), không đề cập thời gian xử lý 5 ngày, không nhắc đến yêu cầu training về security policy, và không nói rõ quy trình áp dụng cho contractor/third-party vendor theo SOP.",variant_hybrid
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","- Quy trình cấp quyền tạm thời cho engineer trong sự cố P1:
  1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời [1].
  2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động [1].
  3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].

- Thời gian quyền tạm thời tồn tại: tối đa 24 giờ [1].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,"Every claim in the answer is directly supported by the retrieved context from it/access-control-sop.md. The steps for temporary access granting, the 24-hour limit, requirement for verbal approval from Tech Lead, need for a formal ticket after 24 hours or automatic revocation, and logging in Security Audit are all explicitly mentioned in the context.",5,"The answer directly and completely addresses both parts of the question: it outlines the specific process for granting temporary access during a P1 incident (including approval, duration, and logging), and clearly states the maximum duration of the temporary access (24 hours).",5,Retrieved: 2/2 expected sources,4,"The model answer covers all procedural and time limit details, but omits the specific instruction to contact on-call via hotline ext. 9999 (24/7) according to SLA P1. This is a minor but explicit point in the expected answer.",variant_hybrid
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu trong tài liệu hiện có.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"The answer correctly states that there is not enough data in the provided documents to answer the (unspecified) question. This is fully faithful to the context, as it does not make any unsupported claims.",5,"The answer directly addresses the question by stating that there is not enough data in the available documents to determine the penalty amount, which is a complete and relevant response given the information constraints.",,No expected sources,3,"Model answer chỉ nói chung chung là không đủ dữ liệu, nhưng không chỉ rõ rằng tài liệu không quy định mức phạt, cũng không nhắc đến nội dung cụ thể của tài liệu như expected answer.",variant_hybrid
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"- Nhân viên phải báo trước ít nhất 3 ngày làm việc để xin nghỉ phép năm [2].
- Số ngày cần giấy tờ khi nghỉ ốm là nếu nghỉ trên 3 ngày liên tiếp [1]. Không có thông tin so sánh giữa số ngày báo trước nghỉ phép năm và số ngày cần giấy tờ khi nghỉ ốm.",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,Every claim in the answer is directly supported by the retrieved context. The requirement to notify at least 3 working days in advance for annual leave is stated in the policy. The need for medical documentation when sick leave exceeds 3 consecutive days is also explicitly mentioned. The answer correctly notes that there is no information comparing the advance notice for annual leave and the days requiring documentation for sick leave.,4,"The answer correctly states the required notice period for annual leave (3 working days) and explains the documentation requirement for sick leave (if over 3 consecutive days). However, it could be clearer in directly comparing the two numbers, as the question asks if they are the same. The answer says there is no information comparing them, but in fact, the numbers are given and can be compared.",5,Retrieved: 1/1 expected sources,4,"Model answer đã nêu đúng các mốc 3 ngày cho nghỉ phép năm và nghỉ ốm, nhưng thiếu chi tiết về việc báo nghỉ phép năm qua HR Portal và chưa làm rõ rằng hai mốc 3 ngày này áp dụng cho hai trường hợp khác nhau.",variant_hybrid
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","- Mật khẩu tài khoản công ty cần đổi định kỳ, cụ thể là mỗi 90 ngày [1].
- Hệ thống sẽ nhắc nhở trước 7 ngày khi mật khẩu sắp hết hạn [1].
- Thông tin về việc đổi mật khẩu không có trong tài liệu hiện có.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",4,"Hai thông tin đầu tiên về việc mật khẩu cần đổi định kỳ mỗi 90 ngày và hệ thống sẽ nhắc nhở trước 7 ngày đều được xác nhận trong context. Tuy nhiên, câu cuối cùng ('Thông tin về việc đổi mật khẩu không có trong tài liệu hiện có') là không chính xác, vì thông tin này thực sự có trong context. Do đó, một chi tiết nhỏ không chính xác, nên chấm 4 điểm.",4,"The answer addresses the question by stating that the password must be changed every 90 days and that the system will remind users 7 days in advance. However, it does not specify where or how to change the password, only mentioning that this information is not available in the current documentation. This omission of a minor detail prevents a perfect score.",5,Retrieved: 1/1 expected sources,3,"Model answer đã trả lời đúng về việc mật khẩu cần đổi định kỳ mỗi 90 ngày và hệ thống sẽ nhắc nhở trước 7 ngày. Tuy nhiên, phần hướng dẫn cụ thể về cách đổi mật khẩu (đường dẫn và liên hệ Helpdesk) bị thiếu, đây là một điểm quan trọng trong câu trả lời.",variant_hybrid
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"- Chính sách hoàn tiền hiện tại áp dụng cho tất cả các đơn hàng được đặt trên hệ thống nội bộ kể từ ngày 01/02/2026. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3 [1].
- Không đủ dữ liệu trong tài liệu hiện có.",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,5,"Every claim in the answer is directly supported by the retrieved context. The answer accurately states the effective date of the refund policy and the application of version 3 for earlier orders, both of which are explicitly mentioned in the context. The statement 'Không đủ dữ liệu trong tài liệu hiện có' (Not enough data in the current document) is a neutral statement and does not introduce unsupported information.",5,"The answer directly and completely addresses the question by clarifying that the current refund policy applies only to orders placed from 01/02/2026 onwards, and that orders placed before this date follow the previous policy (version 3). It also notes the lack of further data, which is relevant and transparent.",5,Retrieved: 1/1 expected sources,4,"Model answer đã giải thích rõ ràng về thời điểm áp dụng của chính sách hoàn tiền hiện tại và đề cập đến việc các đơn hàng trước ngày 01/02/2026 áp dụng phiên bản 3. Tuy nhiên, model answer không trả lời trực tiếp bằng từ 'Không' như expected answer, đây là một điểm nhỏ bị thiếu.",variant_hybrid
